,Dateformat,Time,Network,Home,Away,Viewers,Year,Postseason,Week,Home Rank,Away Rank,HomeConf,AwayConf,FBSConfGame,HomeOff,HomeDef,AwayOff,AwayDef,HomePred,AwayPred,OUPred,Line,OULine,HomeWins,HomeLosses,AwayWins,AwayLosses,HomeGames,AwayGames,RecDifferentials,TV_OTA,TV_ESPN,TV_Cable_ESPN2,TV_Cable_FS1,ViewersK,HomeBin,AwayBin,AddBin,MultBin,HasACC,HasBigTen,HasBig12,HasPac12,HasSEC,HasFCS,A5vA5,A5vG5,G5vG5,Top2,Top5,Top10,Top15,Top25,Real date,OnThursday,OnFriday,OnSaturday,Hour,EarlyAfternoon,LateAfternoon,PrimeTime,LatePrime,Window_A_Games,Window_B_Games,Window_C_Games,Games_In_Window,pred,pred_gbr,pred_etr,pred_model_diff,diff,diffpct
0,2021-08-28,13:00:00,FOX,Illinois,Nebraska,3217000,2021,0,1,,,Big Ten,Big Ten,1,29.627229669971594,20.67003612675654,31.963426991618096,19.919327944059113,24.773278807015352,26.316731559187318,51.09001036620267,9.5,56.5,0,0,0,0,0,0,0,1,0,0,0,3217.0,12,28,40,336,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2021-08-28,0,0,1,13,1,0,0,0,0,0,0,0,3459.4781437856645,2629.8362875713287,4289.12,-23.981705382490688,-242.47814378566454,7
1,2021-08-28,15:30:00,ESPN,UCLA,Hawaii,976000,2021,0,1,,,Pac-12,Mt. West,0,29.627229669971594,20.67003612675654,31.963426991618096,19.919327944059113,24.773278807015352,26.316731559187318,51.09001036620267,9.5,69.5,0,0,0,0,0,0,0,0,1,0,0,976.0,19,10,29,190,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2021-08-28,0,0,1,15,0,1,0,0,0,0,0,0,1097.9610232525417,1172.5620465050833,1023.36,6.794505603809826,-121.96102325254174,11
2,2021-09-01,19:30:00,ESPN,Jacksonville State,UAB,841000,2021,0,1,,,FCS,C-USA,0,29.627229669971594,20.67003612675654,31.963426991618096,19.919327944059113,24.773278807015352,26.316731559187318,51.09001036620267,,,0,0,0,0,0,0,0,0,1,0,0,841.0,0,10,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2021-09-01,0,0,0,19,0,0,1,0,0,0,0,0,757.0598008048189,1001.839601609638,512.28,32.33295448319898,83.9401991951811,11
3,2021-09-02,20:00:00,FOX,Minnesota,Ohio State,6295000,2021,0,1,,4.0,Big Ten,Big Ten,1,29.627229669971594,20.67003612675654,31.963426991618096,19.919327944059113,24.773278807015352,26.316731559187318,51.09001036620267,,,0,0,0,0,0,0,0,1,0,0,0,6295.0,20,50,70,1000,0,1,0,0,0,0,1,0,0,0,1,1,1,1,2021-09-02,1,0,0,20,0,0,1,0,0,0,0,0,5256.182247184317,4166.044494368633,6346.32,-20.74010568030929,1038.817752815683,19
4,2021-09-02,21:40:00,ESPN,UCF,Boise State,841000,2021,0,1,,,AAC,Mt. West,0,29.627229669971594,20.67003612675654,31.963426991618096,19.919327944059113,24.773278807015352,26.316731559187318,51.09001036620267,4.0,71.5,0,0,0,0,0,0,0,0,1,0,0,841.0,13,10,23,130,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2021-09-02,1,0,0,21,0,0,0,1,0,0,0,0,1011.9617436397268,998.4434872794536,1025.48,-1.3358465816753144,-170.96174363972682,16
5,2021-09-03,18:00:00,ESPN,Virginia Tech,North Carolina,2579000,2021,0,1,,10.0,ACC,ACC,1,29.627229669971594,20.67003612675654,31.963426991618096,19.919327944059113,24.773278807015352,26.316731559187318,51.09001036620267,,,0,0,0,0,0,0,0,0,1,0,0,2579.0,23,20,43,460,1,0,0,0,0,0,1,0,0,0,0,1,1,1,2021-09-03,0,1,0,18,0,0,1,0,0,0,0,0,2616.1458138718845,2195.371627743769,3036.92,-16.083743646741603,-37.14581387188446,1
6,2021-09-03,21:00:00,ESPN,Northwestern,Michigan State,2101000,2021,0,1,,,Big Ten,Big Ten,1,29.627229669971594,20.67003612675654,31.963426991618096,19.919327944059113,24.773278807015352,26.316731559187318,51.09001036620267,7.5,45.5,0,0,0,0,0,0,0,0,1,0,0,2101.0,22,34,56,748,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2021-09-03,0,1,0,21,0,0,0,1,0,0,0,0,3053.579431817996,2736.318863635992,3370.84,-10.389792545632853,-952.579431817996,31
7,2021-09-04,19:30:00,ABC,Clemson,Georgia,8863000,2021,0,1,3.0,5.0,ACC,SEC,0,29.627229669971594,20.67003612675654,31.963426991618096,19.919327944059113,24.773278807015352,26.316731559187318,51.09001036620267,3.5,52.5,0,0,0,0,0,0,0,1,0,0,0,8863.0,31,40,71,1240,1,0,0,0,1,0,1,0,0,0,2,2,2,2,2021-09-04,0,0,1,19,0,0,1,0,3,0,0,3,8790.831207655494,7552.742455310986,10028.919960000001,-14.083864461716866,72.16879234450607,0
8,2021-09-04,15:30:00,ABC,Miami (Florida),Alabama,5674000,2021,0,1,,1.0,ACC,SEC,0,29.627229669971594,20.67003612675654,31.963426991618096,19.919327944059113,24.773278807015352,26.316731559187318,51.09001036620267,,,0,0,0,0,0,0,0,1,0,0,0,5674.0,20,50,70,1000,1,0,0,0,1,0,1,0,0,1,1,1,1,1,2021-09-04,0,0,1,15,0,1,0,0,2,0,0,2,4594.534878608127,4249.909757216253,4939.16,-7.500761894232799,1079.4651213918733,23
9,2021-09-04,12:00:00,FOX,Wisconsin,Penn State,5409000,2021,0,1,12.0,19.0,Big Ten,Big Ten,1,29.627229669971594,20.67003612675654,31.963426991618096,19.919327944059113,24.773278807015352,26.316731559187318,51.09001036620267,4.5,53.5,0,0,0,0,0,0,0,1,0,0,0,5409.0,32,29,61,928,0,1,0,0,0,0,1,0,0,0,0,0,1,2,2021-09-04,0,0,1,12,1,0,0,0,3,0,0,3,3938.1947614083247,3917.8695228166494,3958.52,-0.5161054702232877,1470.8052385916753,37
