,Dateformat,Time,Network,Home,Away,Viewers,Year,Postseason,Week,Home Rank,Away Rank,HomeConf,AwayConf,FBSConfGame,HomeOff,HomeDef,AwayOff,AwayDef,HomePred,AwayPred,OUPred,Line,OULine,HomeWins,HomeLosses,AwayWins,AwayLosses,HomeGames,AwayGames,RecDifferentials,TV_OTA,TV_ESPN,TV_Cable_ESPN2,TV_Cable_FS1,ViewersK,HomeBin,AwayBin,AddBin,MultBin,HasACC,HasBigTen,HasBig12,HasPac12,HasSEC,HasFCS,A5vA5,A5vG5,G5vG5,Top2,Top5,Top10,Top15,Top25,Real date,OnThursday,OnFriday,OnSaturday,Hour,EarlyAfternoon,LateAfternoon,PrimeTime,LatePrime,Window_A_Games,Window_B_Games,Window_C_Games,Games_In_Window,pred,diff,diffpct
0,2023-08-26,14:30:00,NBC,Notre Dame,Navy,3560000,2023,0.0,0,13.0,,Independent,Independent,0,29.3208722741433,20.256697819314642,31.787113867295542,17.12897196261682,23.22492211838006,26.021905843305092,49.246827961685156,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,3560.0,4,1,5,4,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2023-08-26,0,0,1,14,1,0,0,0,0,0,0,0,3932.0,-372.0,9
1,2023-08-26,19:00:00,ESPN,New Mexico State,Massachusetts,582000,2023,0.0,0,,,C-USA,Independent,0,29.3208722741433,20.256697819314642,31.787113867295542,17.12897196261682,23.22492211838006,26.021905843305092,49.246827961685156,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,582.0,1,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2023-08-26,0,0,1,19,0,0,1,0,0,0,1,1,970.2,-388.0,39
2,2023-08-26,19:00:00,FS1,San Diego State,Ohio,466000,2023,0.0,0,,,MWC,MAC,0,29.3208722741433,20.256697819314642,31.787113867295542,17.12897196261682,23.22492211838006,26.021905843305092,49.246827961685156,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,466.0,1,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2023-08-26,0,0,1,19,0,0,1,0,0,0,1,1,299.1,167.0,55
3,2023-08-31,19:00:00,FS1,UCF,Kent State,317000,2023,0.0,1,,,Big 12,MAC,0,29.3208722741433,20.256697819314642,31.787113867295542,17.12897196261682,23.22492211838006,26.021905843305092,49.246827961685156,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,317.0,1,1,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2023-08-31,1,0,0,19,0,0,1,0,0,2,0,2,368.7,-52.0,14
4,2023-08-31,20:00:00,ESPN,Utah,Florida,3190000,2023,0.0,1,14.0,,Pac-12,SEC,0,29.3208722741433,20.256697819314642,31.787113867295542,17.12897196261682,23.22492211838006,26.021905843305092,49.246827961685156,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,3190.0,2,4,6,8,0,0,0,1,1,0,1,0,0,0,0,0,1,1,2023-08-31,1,0,0,20,0,0,1,0,0,1,1,2,2685.7,504.0,18
5,2023-08-31,20:00:00,FOX,Minnesota,Nebraska,3490000,2023,0.0,1,,,Big Ten,Big Ten,1,29.3208722741433,20.256697819314642,31.787113867295542,17.12897196261682,23.22492211838006,26.021905843305092,49.246827961685156,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,3490.0,3,3,6,9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2023-08-31,1,0,0,20,0,0,1,0,0,1,1,2,3876.0,-386.0,9
6,2023-09-01,19:00:00,FS1,Michigan State,Central Michigan,1060000,2023,0.0,1,,,Big Ten,MAC,0,29.3208722741433,20.256697819314642,31.787113867295542,17.12897196261682,23.22492211838006,26.021905843305092,49.246827961685156,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1060.0,3,1,4,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2023-09-01,0,1,0,19,0,0,1,0,0,0,1,1,858.9,201.0,23
7,2023-09-01,19:30:00,ESPN,Georgia Tech,Louisville,1650000,2023,0.0,1,,,ACC,ACC,1,29.3208722741433,20.256697819314642,31.787113867295542,17.12897196261682,23.22492211838006,26.021905843305092,49.246827961685156,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1650.0,2,2,4,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2023-09-01,0,1,0,19,0,0,1,0,0,0,1,1,2091.0,-441.0,21
8,2023-09-02,12:00:00,ABC,Tennessee,Virginia,2460000,2023,0.0,1,12.0,,SEC,ACC,0,29.3208722741433,20.256697819314642,31.787113867295542,17.12897196261682,23.22492211838006,26.021905843305092,49.246827961685156,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,2460.0,3,2,5,6,1,0,0,0,1,0,1,0,0,0,0,0,1,1,2023-09-02,0,0,1,12,1,0,0,0,0,0,3,3,3163.6,-704.0,22
9,2023-09-02,12:00:00,FOX,TCU,Colorado,7260000,2023,0.0,1,17.0,,Big 12,Pac-12,0,29.3208722741433,20.256697819314642,31.787113867295542,17.12897196261682,23.22492211838006,26.021905843305092,49.246827961685156,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,7260.0,2,2,4,4,0,0,1,1,0,0,1,0,0,0,0,0,0,1,2023-09-02,0,0,1,12,1,0,0,0,0,1,2,3,2594.1,4666.0,179
10,2023-09-02,12:00:00,ESPN,Oklahoma,Arkansas State,970000,2023,0.0,1,20.0,,Big 12,Sun Belt,0,29.3208722741433,20.256697819314642,31.787113867295542,17.12897196261682,23.22492211838006,26.021905843305092,49.246827961685156,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,970.0,3,1,4,3,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2023-09-02,0,0,1,12,1,0,0,0,0,1,2,3,1693.7,-724.0,42
11,2023-09-02,12:00:00,FS1,Iowa,Utah State,561000,2023,0.0,1,25.0,,Big Ten,MWC,0,29.3208722741433,20.256697819314642,31.787113867295542,17.12897196261682,23.22492211838006,26.021905843305092,49.246827961685156,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,561.0,2,1,3,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2023-09-02,0,0,1,12,1,0,0,0,0,1,2,3,554.1,7.0,1
12,2023-09-02,15:30:00,CBS,Indiana,Ohio State,4650000,2023,0.0,1,,3.0,Big Ten,Big Ten,1,29.3208722741433,20.256697819314642,31.787113867295542,17.12897196261682,23.22492211838006,26.021905843305092,49.246827961685156,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,4650.0,2,5,7,10,0,1,0,0,0,0,1,0,0,0,1,1,1,1,2023-09-02,0,0,1,15,0,1,0,0,0,1,4,5,4617.5,32.0,0
13,2023-09-02,15:30:00,ABC,Washington,Boise State,1970000,2023,0.0,1,10.0,,Pac-12,MWC,0,29.3208722741433,20.256697819314642,31.787113867295542,17.12897196261682,23.22492211838006,26.021905843305092,49.246827961685156,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1970.0,2,1,3,2,0,0,0,1,0,0,0,1,0,0,0,1,1,1,2023-09-02,0,0,1,15,0,1,0,0,0,2,3,5,2031.9,-62.0,3
14,2023-09-02,15:30:00,FOX,Texas,Rice,3210000,2023,0.0,1,11.0,,Big 12,AAC,0,29.3208722741433,20.256697819314642,31.787113867295542,17.12897196261682,23.22492211838006,26.021905843305092,49.246827961685156,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,3210.0,3,1,4,3,0,0,1,0,0,0,0,1,0,0,0,0,1,1,2023-09-02,0,0,1,15,0,1,0,0,0,2,3,5,2306.6,903.0,39
15,2023-09-02,15:30:00,NBC,Notre Dame,Tennessee State,1560000,2023,0.0,1,13.0,,Independent,FCS,0,42.0,3.0,31.787113867295542,17.12897196261682,29.564485981308408,17.393556933647773,46.95804291495618,0.0,0.0,1,0,0,0,1,0,1,1,0,0,0,1560.0,4,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2023-09-02,0,0,1,15,0,1,0,0,0,2,3,5,2276.1,-716.0,31
16,2023-09-02,15:30:00,FS1,Wisconsin,Buffalo,784000,2023,0.0,1,19.0,,Big Ten,MAC,0,29.3208722741433,20.256697819314642,31.787113867295542,17.12897196261682,23.22492211838006,26.021905843305092,49.246827961685156,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,784.0,3,1,4,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2023-09-02,0,0,1,15,0,1,0,0,0,2,3,5,788.5,-4.0,0
17,2023-09-02,15:30:00,ESPN,Auburn,Massachusetts,1030000,2023,0.0,1,,,SEC,Independent,0,29.3208722741433,20.256697819314642,31.787113867295542,17.12897196261682,23.22492211838006,26.021905843305092,49.246827961685156,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1030.0,4,1,5,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2023-09-02,0,0,1,15,0,1,0,0,0,1,4,5,1905.3,-875.0,45
