,Teams,Year,TotalViewers,TotalCount,MeanViewers,bins
0,Air Force,2013,9166000,7,1309428,1
1,Air Force,2014,9166000,7,1309428,1
2,Air Force,2015,9166000,7,1309428,1
3,Air Force,2016,9166000,7,1309428,1
4,Air Force,2017,6211000,6,1035166,1
5,Air Force,2018,5275000,7,753571,1
6,Air Force,2019,1436000,4,359000,1
7,Air Force,2020,2125000,5,425000,1
8,Air Force,2021,1894000,5,378800,1
9,Air Force,2022,4671000,8,583875,1
10,Air Force,2023,3547000,6,591166,1
11,Akron,2013,340000,1,340000,1
12,Akron,2014,340000,1,340000,1
13,Akron,2015,340000,1,340000,1
14,Akron,2016,340000,1,340000,1
15,Akron,2017,557000,2,278500,1
16,Akron,2018,3880000,5,776000,1
17,Akron,2019,3880000,5,776000,1
18,Akron,2020,3663000,4,915750,1
19,Akron,2021,957000,1,957000,1
20,Akron,2022,957000,1,957000,1
21,Akron,2023,957000,1,957000,1
22,Alabama,2013,215152999,30,7171766,5
23,Alabama,2014,215152999,30,7171766,5
24,Alabama,2015,215152999,30,7171766,5
25,Alabama,2016,215152999,30,7171766,5
26,Alabama,2017,227168000,32,7099000,5
27,Alabama,2018,217909999,33,6603333,5
28,Alabama,2019,247489999,37,6688918,5
29,Alabama,2020,228334999,35,6523857,5
30,Alabama,2021,209082999,32,6533843,5
31,Alabama,2022,156500999,27,5796333,5
32,Alabama,2023,98990999,17,5822999,5
33,Appalachian State,2013,1290000,1,1290000,1
34,Appalachian State,2014,1290000,1,1290000,1
35,Appalachian State,2015,1290000,1,1290000,1
36,Appalachian State,2016,1290000,1,1290000,1
37,Appalachian State,2017,2786000,3,928666,1
38,Appalachian State,2018,3214000,3,1071333,1
39,Appalachian State,2019,3214000,3,1071333,1
40,Appalachian State,2020,3726000,4,931500,1
41,Appalachian State,2021,4898000,7,699714,1
42,Appalachian State,2022,7144000,10,714400,1
43,Appalachian State,2023,5136000,7,733714,1
44,Arizona,2013,28188000,19,1483578,2
45,Arizona,2014,28188000,19,1483578,2
46,Arizona,2015,28188000,19,1483578,2
47,Arizona,2016,28188000,19,1483578,2
48,Arizona,2017,29714999,23,1291956,1
49,Arizona,2018,14295999,17,840941,1
50,Arizona,2019,19082998,20,954149,1
51,Arizona,2020,20830999,18,1157277,1
52,Arizona,2021,22519999,18,1251111,1
53,Arizona,2022,15928000,12,1327333,2
54,Arizona,2023,8788000,7,1255428,2
55,Arizona State,2013,41350000,22,1879545,2
56,Arizona State,2014,41350000,22,1879545,2
57,Arizona State,2015,41350000,22,1879545,2
58,Arizona State,2016,41350000,22,1879545,2
59,Arizona State,2017,36958000,24,1539916,2
60,Arizona State,2018,25318000,19,1332526,2
61,Arizona State,2019,18820000,16,1176250,1
62,Arizona State,2020,17694000,13,1361076,2
63,Arizona State,2021,16522000,12,1376833,2
64,Arizona State,2022,19253000,16,1203312,1
65,Arizona State,2023,11575000,11,1052272,1
66,Arkansas,2013,61348999,21,2921380,3
67,Arkansas,2014,61348999,21,2921380,3
68,Arkansas,2015,61348999,21,2921380,3
69,Arkansas,2016,61348999,21,2921380,3
70,Arkansas,2017,71004999,23,3087173,3
71,Arkansas,2018,62838999,22,2856318,3
72,Arkansas,2019,45610000,17,2682941,3
73,Arkansas,2020,27833999,12,2319499,2
74,Arkansas,2021,17359999,8,2169999,2
75,Arkansas,2022,35675999,12,2972999,3
76,Arkansas,2023,28886000,9,3209555,3
77,Arkansas State,2013,1779000,4,444750,1
78,Arkansas State,2014,1779000,4,444750,1
79,Arkansas State,2015,1779000,4,444750,1
80,Arkansas State,2016,1779000,4,444750,1
81,Arkansas State,2017,1737000,5,347400,1
82,Arkansas State,2018,2009000,6,334833,1
83,Arkansas State,2019,3034000,5,606800,1
84,Arkansas State,2020,3260000,4,815000,1
85,Arkansas State,2021,6649000,7,949857,1
86,Arkansas State,2022,4986000,6,831000,1
87,Arkansas State,2023,4035000,5,807000,1
88,Army,2013,15178000,4,3794500,3
89,Army,2014,15178000,4,3794500,3
90,Army,2015,15178000,4,3794500,3
91,Army,2016,15178000,4,3794500,3
92,Army,2017,24504000,5,4900800,3
93,Army,2018,19090000,4,4772500,3
94,Army,2019,20011000,4,5002750,3
95,Army,2020,22996000,4,5749000,4
96,Army,2021,21788000,5,4357600,3
97,Army,2022,15182000,5,3036400,3
98,Army,2023,2742000,3,914000,1
99,Auburn,2013,110087000,22,5003954,4
100,Auburn,2014,110087000,22,5003954,4
101,Auburn,2015,110087000,22,5003954,4
102,Auburn,2016,110087000,22,5003954,4
